Versus Player,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
JL Denly , 3 , 30 , 39 , 0 , - , 76.9 , 18 , 0 , 0 , 4 , 0 , 53.8 ,SPD+Smith
JM Anderson , 36 , 402 , 966 , 8 , 50.2 , 41.6 , 37 , 0 , 0 , 55 , 0 , 80.3 ,SPD+Smith
JNT Seales , 2 , 23 , 31 , 0 , - , 74.2 , 22 , 0 , 0 , 2 , 0 , 61.3 ,SPD+Smith
JO Holder , 10 , 106 , 191 , 1 , 106.0 , 55.5 , 28 , 0 , 0 , 7 , 0 , 67.5 ,SPD+Smith
JP Duminy , 5 , 39 , 77 , 0 , - , 50.6 , 14 , 0 , 0 , 2 , 0 , 66.2 ,SPD+Smith
JT Ball , 1 , 30 , 55 , 0 , - , 54.5 , 30 , 0 , 0 , 4 , 0 , 72.7 ,SPD+Smith
K Rabada , 14 , 112 , 226 , 4 , 28.0 , 49.6 , 18 , 0 , 0 , 14 , 2 , 79.6 ,SPD+Smith
KA Maharaj , 11 , 104 , 243 , 3 , 34.7 , 42.8 , 27 , 0 , 0 , 9 , 2 , 77.0 ,SPD+Smith
KAJ Roach , 5 , 133 , 185 , 0 , - , 71.9 , 50 , 1 , 0 , 16 , 0 , 65.4 ,SPD+Smith
KC Brathwaite , 6 , 113 , 185 , 0 , - , 61.1 , 37 , 0 , 0 , 3 , 1 , 58.9 ,SPD+Smith
KJ Abbott , 6 , 78 , 113 , 1 , 78.0 , 69.0 , 29 , 0 , 0 , 12 , 0 , 72.6 ,SPD+Smith
KR Mayers , 1 , 17 , 40 , 0 , - , 42.5 , 17 , 0 , 0 , 2 , 0 , 80.0 ,SPD+Smith
KS Williamson , 2 , 6 , 10 , 0 , - , 60.0 , 4 , 0 , 0 , 0 , 0 , 40.0 ,SPD+Smith
Kuldeep Yadav , 1 , 19 , 35 , 0 , - , 54.3 , 19 , 0 , 0 , 2 , 0 , 62.9 ,SPD+Smith
KV Sharma , 2 , 53 , 73 , 0 , - , 72.6 , 43 , 0 , 0 , 4 , 0 , 52.1 ,SPD+Smith
L Ngidi , 4 , 33 , 51 , 0 , - , 64.7 , 15 , 0 , 0 , 6 , 0 , 76.5 ,SPD+Smith
LH Ferguson , 1 , 4 , 19 , 0 , - , 21.1 , 4 , 0 , 0 , 0 , 0 , 78.9 ,SPD+Smith
M Jansen , 2 , 30 , 62 , 0 , - , 48.4 , 21 , 0 , 0 , 4 , 0 , 79.0 ,SPD+Smith
